timeMillis,iso8601,bpm
1709251200000,2024-03-01T00:00:00Z,70
1709251500000,2024-03-01T00:05:00Z,71
1709251800000,2024-03-01T00:10:00Z,69
1709252100000,2024-03-01T00:15:00Z,70
1709252400000,2024-03-01T00:20:00Z,72
1709252700000,2024-03-01T00:25:00Z,70
1709253000000,2024-03-01T00:30:00Z,72
1709253300000,2024-03-01T00:35:00Z,62
1709253600000,2024-03-01T00:40:00Z,72
1709253900000,2024-03-01T00:45:00Z,62
1709254200000,2024-03-01T00:50:00Z,63
1709254500000,2024-03-01T00:55:00Z,65
1709254800000,2024-03-01T01:00:00Z,70
1709255100000,2024-03-01T01:05:00Z,65
1709255400000,2024-03-01T01:10:00Z,60
1709255700000,2024-03-01T01:15:00Z,66
1709256000000,2024-03-01T01:20:00Z,64
1709256300000,2024-03-01T01:25:00Z,63
1709256600000,2024-03-01T01:30:00Z,67
1709256900000,2024-03-01T01:35:00Z,63
1709257200000,2024-03-01T01:40:00Z,63
1709257500000,2024-03-01T01:45:00Z,60
1709257800000,2024-03-01T01:50:00Z,71
1709258100000,2024-03-01T01:55:00Z,66
1709258400000,2024-03-01T02:00:00Z,69
1709258700000,2024-03-01T02:05:00Z,64
1709259000000,2024-03-01T02:10:00Z,71
1709259300000,2024-03-01T02:15:00Z,71
1709259600000,2024-03-01T02:20:00Z,62
1709259900000,2024-03-01T02:25:00Z,65
1709260200000,2024-03-01T02:30:00Z,61
1709260500000,2024-03-01T02:35:00Z,67
1709260800000,2024-03-01T02:40:00Z,60
1709261100000,2024-03-01T02:45:00Z,64
1709261400000,2024-03-01T02:50:00Z,71
1709261700000,2024-03-01T02:55:00Z,61
1709262000000,2024-03-01T03:00:00Z,60
1709262300000,2024-03-01T03:05:00Z,61
1709262600000,2024-03-01T03:10:00Z,66
1709262900000,2024-03-01T03:15:00Z,65
1709263200000,2024-03-01T03:20:00Z,64
1709263500000,2024-03-01T03:25:00Z,71
1709263800000,2024-03-01T03:30:00Z,60
1709264100000,2024-03-01T03:35:00Z,62
1709264400000,2024-03-01T03:40:00Z,67
1709264700000,2024-03-01T03:45:00Z,72
1709265000000,2024-03-01T03:50:00Z,71
1709265300000,2024-03-01T03:55:00Z,63
1709265600000,2024-03-01T04:00:00Z,66
1709265900000,2024-03-01T04:05:00Z,62
1709266200000,2024-03-01T04:10:00Z,67
1709266500000,2024-03-01T04:15:00Z,72
1709266800000,2024-03-01T04:20:00Z,65
1709267100000,2024-03-01T04:25:00Z,62
1709267400000,2024-03-01T04:30:00Z,69
1709267700000,2024-03-01T04:35:00Z,66
1709268000000,2024-03-01T04:40:00Z,61
1709268300000,2024-03-01T04:45:00Z,71
1709268600000,2024-03-01T04:50:00Z,61
1709268900000,2024-03-01T04:55:00Z,65
1709269200000,2024-03-01T05:00:00Z,63
1709269500000,2024-03-01T05:05:00Z,68
1709269800000,2024-03-01T05:10:00Z,69
1709270100000,2024-03-01T05:15:00Z,71
